event_id_1pd,date,R5PriorityV3,sources_matching,source_urls,asciiname,ADM1_NAME,location_method,RussiaTextHits,LaterYearHints,ResidualFlags,text_excerpt,CandidateCensusComplete
53960,20220817,L1_CRIMEA_GEO,ntv|nv,https://nv.ua/ukr/ukraine/events/vibuhi-na-aerodromi-v-simferopoli-arestovich-povidomiv-pro-znishchennya-su-24-novini-ukrajini-50263918.html|https://www.ntv.ru/novosti/2719452/,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,,,POSSIBLE_COMPOSITE,"В Крыму из-за взрывов на складе боеприпасов повреждена железная дорога Боеприпасы, сдетонировавшие на складе в Крыму, повредили железнодорожное полотно между станциями Азовское и Разъезд 10 км. || «Гарантовано знищено Су-24». Арестович повідомив подробиці вибухів на аеродромі під Сімферополем",FALSE
53997,20220818,L1_CRIMEA_GEO,24tvua|nv,https://24tv.ua/sezon-bavovni-krimu-rozpali-merezhi-povidomlyayut-pro-vibuhi_n2136933|https://24tv.ua/tse-naybilsha-aviabaza-krimu-chubarov-pidtverdiv-vibuhi-belbeku_n2137015|https://nv.ua/ukr/ukraine/events/vibuhi-v-sevastopoli-u-rayoni-aerodromu-belbek-vidno-dim-novini-ukrajini-50264177.html,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,,,POSSIBLE_COMPOSITE,"Сезон """"""""""""""""бавовни"""""""""""""""" у Криму – в розпалі: у мережі повідомляють про вибухи на аеродромі Бельбек || """"""""""""""""Це найбільша авіабаза Криму"""""""""""""""": Чубаров і Арестович підтвердили вибухи в Бельбеку || ЗМІ повідомили про вибухи в районі військового аеродрому Бельбек у Криму",FALSE
54024,20220819,L1_CRIMEA_GEO,nv,https://nv.ua/ukr/ukraine/events/belbek-u-krimu-shcho-vidomo-pro-vibuhi-na-odniy-iz-nayvazhlivishih-aviabaz-rf-novini-ukrajini-50264210.html,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,РФ,,RUSSIA_TEXT_HIT,Бельбек — нова ціль «бавовни» в Криму? Що відомо про вибухи в районі аеродрому і чому ця база така важлива для авіації РФ,FALSE
54187,20220826,L1_CRIMEA_GEO,nv,https://nv.ua/ukr/ukraine/events/rf-vivodit-svoji-viyskovi-litaki-z-krimu-novini-ukrajini-50265856.html,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,РФ,,RUSSIA_TEXT_HIT,Після ударів по авіабазах: ЗС РФ вирішили вивести свої літаки з Криму — Business Insider,FALSE
18052,20220902,L2_RUS_ACTOR_UA_GEO,meduza,https://t.me/romanov_92/26765,Yekaterinovka,Dnipropetrovs'k,REVIEW_NAME_ONLY_RU_SUPPORT,России,,RUSSIA_TEXT_HIT,"Пожар на нефтебазе «Октан» в Кривом Роге, по которой ВКС России нанесли ракетный удар..",FALSE
268162,20220906,L2_RUS_ACTOR_UA_GEO,liga|pravdaua,https://news.liga.net/region_news/news/rossiya-bet-raketami-po-krivomu-rogu-pochti-po-vsey-ukraine-zvuchit-vozdushnaya-trevoga|https://www.pravda.com.ua/news/2022/09/6/7366236/,Bazhanovo,Dnipropetrovs'k,REVIEW_NAME_ONLY_RU_SUPPORT,Россия,,RUSSIA_TEXT_HIT|POSSIBLE_COMPOSITE,"дополнено Россия ударила ракетами по Кривому Рогу: горит нефтебаза – фото, видео || Росіяни завдали ракетні удари по Кривому Рогу, знову горить нафтобаза. Близько 8-ї ранку 6 вересня російські війська вдарили ракетами по місту Кривий Ріг, через що сталася пожежа на нафтобазі – так само, як напередодні.",FALSE
197690,20220911,L3_UA_GEO_NO_UA_ACTOR,militarnyy,https://mil.in.ua/uk/news/u-kahovtsi-pivdnya-deto1nuye-sklad/,Kherson,Kherson,REVIEW_NAME_ONLY_RU_SUPPORT,РФ,,RUSSIA_TEXT_HIT,"У Каховці пів дня детонує склад із боєприпасами РФ. У тимчасово окупованій Каховці у Херсонській області знищили склад боєприпасів. Місцеві мешканці повідомляють про детонацію, яка триває багато г...",FALSE
54457,20220914,L1_CRIMEA_GEO,nv,https://nv.ua/ukr/ukraine/events/na-aviabazi-rf-u-krimu-pribivayut-smartfoni-soldativ-cvyahami-do-stendu-foto-novini-ukrajini-50269934.html,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,РФ,,RUSSIA_TEXT_HIT,"Прибивають цвяхами до стенда: на авіабазі РФ у Криму знищують гаджети, щоб урятуватися від ударів ЗСУ — фото",FALSE
54527,20220921,L1_CRIMEA_GEO,militarnyy,https://mil.in.ua/uk/news/zbrojni-syly-znyshhyly-ob-yekt-744-go-tsentru-zv-yazku-komanduvannya-chf-rf-u-krymu/,Simferopol,Crimea,REVIEW_DISPUTED_CRIMEA,РФ,,RUSSIA_TEXT_HIT,Збройні сили знищили об’єкт 744-го Центру зв’язку командування ЧФ РФ у Криму. З'явилися супутникові знімки ураженого 744-го Центру зв'язку командування ЧФ РФ біля селища Верхньосадове в окупованому Криму. Відповідні знімки...,FALSE
197931,20220925,L3_UA_GEO_NO_UA_ACTOR,interfaxua,https://interfax.com.ua/news/general/860998.html,Kherson,Kherson,REVIEW_NAME_ONLY_RU_SUPPORT,РФ,,RUSSIA_TEXT_HIT,У Херсонській області знищено два склади боєприпасів і пункт управління військових РФ,FALSE
60832,20220930,L3_UA_GEO_NO_UA_ACTOR,nv,https://nv.ua/ukr/ukraine/events/v-ivano-frankivskiy-oblasti-vibuhnuv-naftoprovid-video-novini-ukrajini-50357364.html|https://nv.ua/ukr/ukraine/events/vibuh-naftoprovodu-v-ivano-frankivskiy-oblasti-kilkist-postrazhdalih-zrosla-novini-ukrajini-50357392.html,Shevchenkovo,Ivano-Frankivs'k,REVIEW_NAME_ONLY_RU_SUPPORT,,,POSSIBLE_COMPOSITE,"На Івано-Франківщині вибухнув нафтопровід — відео || Вибух нафтопроводу на Франківщині: кількість постраждалих зросла до дев’яти, двоє дітей отримали опіки понад 70% тіла || Вибух нафтопроводу на Франківщині: кількість постраждалих зросла до дев’яти, двоє дітей зазнали опіків понад 70% тіла",FALSE
