SourceEventID,VIINADate,ComponentID,ManualDecision,CanonicalEventDate,CountryScope,TargetOrEvent,TargetID,NodeID,Sector,PhysicalAttackStatus,ActorClaim,AttributionStatus,DedupeStatus,ScoringEligibility,DecisionReason,CandidateCensusComplete
59435,20240728,X1,EXCLUDE_ATTEMPT_NO_CONFIRMED_TARGET_HIT,2024-07-27,RUSSIA_PROPER,Dyagilevo military airfield Ryazan,,,,ATTACK_ATTEMPT_REPORTED,UKRAINIAN_DRONES_ALLEGED,ATTRIBUTION_REPORTED_BY_RUSSIA,NOT_APPLICABLE,NOT_SCORING_EVENT,Seven drones reportedly attacked/approached airfield but source establishes air-defence activity rather than a confirmed physical target hit,FALSE
59435,20240728,X2,EXCLUDE_NO_QUALIFYING_INFRASTRUCTURE_TARGET,2024-07-24,RUSSIA_PROPER,Mi-8 helicopter at Kryazh airfield Samara,,,,AIRCRAFT_FIRE_OR_SABOTAGE_REPORTED,UKRAINIAN_HUR_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,NOT_APPLICABLE,OUTSIDE_CURRENT_DEEP_TARGET_UNIT,Physical loss concerns an individual helicopter rather than a separately identified qualifying facility/node; retain only as evidence context,FALSE
59435,20240728,X3,EXCLUDE_NO_QUALIFYING_INFRASTRUCTURE_TARGET,2024-07-21,RUSSIA_PROPER,Mi-28 and Ka-226 helicopters Tomilino Moscow Oblast,,,,AIRCRAFT_DAMAGE_REPORTED,UKRAINIAN_HUR_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,NOT_APPLICABLE,OUTSIDE_CURRENT_DEEP_TARGET_UNIT,Physical damage concerns individual helicopters without a separately identified qualifying facility/node,FALSE
59435,20240728,X4,EXCLUDE_ATTEMPT_NO_CONFIRMED_TARGET_HIT,2024-07-27,RUSSIA_PROPER,Bryansk Oblast mass drone interceptions,,,,INTERCEPTIONS_REPORTED,UKRAINIAN_DRONES_ALLEGED,ATTRIBUTION_REPORTED_BY_RUSSIA,NOT_APPLICABLE,NOT_SCORING_EVENT,Source reports intercepted drones and no casualties or destruction; no qualifying physical target hit,FALSE
59435,20240728,CR1,EXCLUDE_CRIMEA_SCOPE,2024-07-26,CRIMEA_SEVASTOPOL,Saki airfield Novofedorivka,,,,CONFIRMED_PHYSICAL_HIT,UKRAINIAN_DEFENCE_FORCES_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Physical event is in occupied Crimea and outside frozen Russia-proper census,FALSE
222370,20240827,MAIN,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2024-08-27,UKRAINE_OTHER,Khmelnytskyi airfield area,,,,RUSSIAN_STRIKES_REPORTED,RUSSIAN_FORCES,REPORTED,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Report concerns strikes in Khmelnytskyi Oblast Ukraine,FALSE
222383,20240912,MAIN,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2024-09-12,UKRAINE_OTHER,Kyiv and Khmelnytskyi airfield area,,,,EXPLOSIONS_DURING_RUSSIAN_ATTACK_REPORTED,RUSSIAN_FORCES,REPORTED,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,All described target locations are in Ukraine,FALSE
257277,20240912,MAIN,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2024-09-12,UKRAINE_OTHER,Chernihiv Oblast Ukrainian ammunition depot,,,,RUSSIAN_DRONE_STRIKE_REPORTED,RUSSIAN_FORCES,REPORTED,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target explicitly in Chernihiv Oblast Ukraine,FALSE
175138,20240925,MAIN,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2024-09-25,UKRAINE_OCCUPIED_OTHER,Enemy ammunition depot Pokrovsk direction,,,,UKRAINIAN_STRIKE_REPORTED,UKRAINIAN_NATIONAL_GUARD,UKRAINIAN_ATTRIBUTION_REPORTED,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target is on Pokrovsk direction in Donetsk Oblast Ukraine,FALSE
349604,20241007,MAIN,EXCLUDE_CRIMEA_SCOPE,2024-10-07,CRIMEA_SEVASTOPOL,Feodosia marine oil terminal,,,,CONFIRMED_PHYSICAL_HIT,UKRAINIAN_DEFENCE_FORCES_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Target is occupied Feodosia Crimea,FALSE
349625,20241013,MAIN,EXCLUDE_CRIMEA_SCOPE_FOLLOWUP,2024-10-07,CRIMEA_SEVASTOPOL,Feodosia marine oil terminal,,,,FOLLOWUP_DAMAGE_REPORT,UKRAINIAN_STRIKE_PREVIOUSLY_REPORTED,UKRAINIAN_ATTRIBUTION_REPORTED,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,Follow-up imagery/aftermath to Feodosia oil-terminal strike; Crimea outside scope,FALSE
29087,20241110,MAIN,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2024-11-10,UKRAINE_OTHER,Multiple Ukrainian settlements and battlefield targets,,,,RUSSIAN_AIRSTRIKES_REPORTED,RUSSIAN_FORCES,REPORTED,NOT_APPLICABLE,NOT_ELIGIBLE_RUSSIA_PROPER,General Staff report lists Russian airstrikes across Sumy Kharkiv Donetsk Zaporizhzhia and Kherson oblasts; no Russia-proper target,FALSE
