DedupeClusterID,CanonicalEventID1pd,ClusterRowCount,MemberEventIDs,MemberDates,SourceURLs,RepresentativeText,DedupeBasis,CanonicalSelectionRule,CandidateCensusComplete
EXACT2022-0011,65918,2,65918|229723,20220505,https://twitter.com/Kramatorsk_Post/status/1522617227329126402,"Разрушения на предприятии Энергомашспецсталь в Краматорске (Донецкая область) после ракетного удара. Как сообщается, почти полностью уничтожено оборудование кузнечно-прессового цеха. Российское Минобороны утверждает, что там был украинский склад боеприпасов. .",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0012,236006,2,236006|308407,20220510,https://www.pravda.com.ua/news/2022/05/10/7345217/,"Регіони: """"приліт"""" у Лисичанський НПЗ, обстріли Первомайського, """"Азовсталь"""" тримається. Ніч на 10 травня була відносно спокійною для Харкова, у Донецькій та Луганській областях тривають важкі бої, у Миколаївській області росіяни обстріляли містечко Первомайське й ще кілька сіл, в Одесі ракетним ударом 9 травня знищено торговий центр.",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0013,81923,4,81923|81926|220383|220385,20220513|20220514,https://t.me/DMYTROLUNIN/1869,"4 ракетні удари по Кременчуцькому НПЗ, також вибухи в Полтавському районі - голова ОДА",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0014,81924,4,81924|81927|220384|220386,20220513|20220514,https://t.me/truexanewsua/46520,Більше російських ракетних ударів по Кременчуцькому НПЗ та критично важливих об'єктах у Полтавській області,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0015,85815,2,85815|85817,20220517|20220518,https://t.me/hueviykharkov/60325,Збройні сили України знищили склади російських боєприпасів поблизу Ізюма та на Херсонщині,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0016,42528,3,42528|195937|236103,20220519,https://www.pravda.com.ua/news/2022/05/19/7347132/,"Регіони: на Луганщині пошкодили останню підстанцію, в Авдіївці – залізничну інфраструктуру. Сумська, Харківська, Дніпропетровська, Херсонська, Миколаївська області продовжують зазнавати обстрілів, у Луганській та Донецькій областях вогонь не припиняється, Луганщина залишилася без світла, в Авдіївці пошкоджено залізничну інфраструктуру.",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0017,196171,2,196171|196189,20220608|20220609,https://t.me/lumsrc/1710,"Українські гелікоптери завдали авіаударів по зборах російських військ у Херсонській області, а військові літаки – по арсеналах боєприпасів у Миколаївській області, – йдеться у ранковому звіті Генштабу ЗСУ.",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0018,306769,2,306769|306770,20220617|20220618,https://twitter.com/666_mancer/status/1537515805407121413,Відео: сьогодні вибух на складі боєприпасів у Хрустальному на Луганщині,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0019,306781,2,306781|306782,20220617|20220618,https://twitter.com/GirkinGirkin/status/1537465724762980353,"Повідомляється, що поблизу Хрустального на Луганщині вибухнув склад боєприпасів",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0020,236402,4,236402|236420|298700|298703,20220618|20220619,https://twitter.com/alex_bezfam/status/1537780937802633216,У Донецьку вибухнув склад боєприпасів,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0021,220387,2,220387|220388,20220619|20220620,https://t.me/hyevuy_dnepr/29162,Нова хвиля ракетних ударів по Кременчуцькому НПЗ – керівник області,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0022,165184,2,165184|196409,20220623,https://twitter.com/hochu_dodomu/status/1539502671601745922,Між Киселівкою та Чорнобаївкою Херсонської області вибухнув склад з боєприпасами,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0023,196501,2,196501|254230,20220629,https://t.me/hueviyherson/21326,"Как утверждается, пожар (вероятно, после украинских ударов) на аэродроме Чернобаевка под Херсоном. Украинские силы уже много раз наносили удары по аэродрому.",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0024,236555,2,236555|236564,20220702|20220703,https://t.me/lumsrc/2006,"На Донецькому напрямку російські війська намагаються блокувати Лисичанськ і захопити трасу Лисичанськ-Бахмут. Російська артилерія обстріляла Лисичанськ, Верхньокам'янку та Сіверськ. Російська авіація завдала авіаудару поблизу Вовчоярівки. Тривають штурми Верхньокам'янки та Лисичанського НПЗ, – йдеться у ранковому звіті Генштабу ЗСУ.",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0025,298705,3,236614|298705|298706,20220706|20220707,https://twitter.com/den_kazansky/status/1544313516554854400,Боєприпаси валяються на вулицях Донецька після вибуху складу з боєприпасами в Камаз-центрі,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0026,236613,2,236613|236624,20220707|20220708,https://t.me/chanel24/46053,Пожежа на нафтобазі в Донецьку,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0027,193154,4,193154|193156|196634|196650,20220710|20220711,https://twitter.com/babaikit/status/1545649107305467907,У Херсоні стався вибух на військових складах боєприпасів,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0028,196680,2,196680|196695,20220712|20220713,https://twitter.com/UKRINFORM/status/1546510969505030144,Біля аеродрому Херсон пролунали вибухи,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0029,37837,2,37837|37838,20220712|20220713,https://twitter.com/_tredecim_/status/1546485871515500546,У Токмаку сьогодні стався вибух на складі боєприпасів,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0030,44971,2,44971|53489,20220719,https://mil.in.ua/uk/news/u-krymu-vybuhnuv-sklad-boyeprypasiv-1/,"У Криму вибухнув склад боєприпасів. У Криму детонує російський склад з боєприпасами на Старокримському полігоні. Про це повідомляють російські медіа. Близько 4 ранку, 19 липня, ...",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0031,51638,4,51638|51643|334357|334358,20220721|20220722,https://twitter.com/Illya_Ayzin/status/1549842669614014467,Вибухи на складах боєприпасів у Скадовську,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0032,53536,2,53536|232735,20220724,https://mil.in.ua/uk/news/u-krymu-stalysya-vybuhy-na-skladi-boyeprypasiv/,"У Криму сталися вибухи на складі боєприпасів . В Джанкойському районі окупованого Криму на російському складі боєприпасів, вранці у понеділок, пролунали вибухи. Про вибухи повідомляють очевид...",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0033,236778,2,236778|236781,20220726|20220727,https://www.ntv.ru/novosti/2716467/,ВСУ обстреляли нефтебазу в Донецке — Специальная военная операция России Крупный пожар начался на нефтебазе в Донецке после обстрелов со стороны Украины.,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0034,197132,2,197132|236934,20220806,https://interfax.com.ua/news/general/850998.html,"Українські підрозділи завдали ударів на Херсонському та Донецькому напрямках, знищено 30 окупантів і склад боєприпасів",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0035,340584,2,340584|340588,20220808|20220809,https://t.me/info_zp/12875,Пожежа на Запорізькій АЕС внаслідок короткого замикання на підстанції. Вогнеборці вже загасили його,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0036,236983,2,236983|236998,20220810|20220811,https://24tv.ua/skladi-rosiyan-donetsku-lunayut-vibuhi_n2121867,Пожежа та вибухи на пивзаводі в Донецьку: окупанти його перетворили на склад боєприпасів,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0037,314884,2,314884|314888,20220810|20220811,https://twitter.com/antonohaio/status/1556986277450469377,Ще одне відео вибухів на авіабазі в Саках,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0038,53757,3,53757|53809|314885,20220810|20220811,https://twitter.com/ELINTNews/status/1556989234052997122,"Відео вибуху на авіабазі Саки в підконтрольному Росії Криму, за 200 км від найближчих позицій лінії фронту",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0039,53737,3,53737|53791|314886,20220810|20220811,https://twitter.com/GirkinGirkin/status/1556984446582247424,Вибухи та пожежа на авіабазі Новофедорівка в Криму,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0040,236985,2,236985|237000,20220811|20220812,https://www.ntv.ru/novosti/2718700/|https://www.ntv.ru/novosti/2718704/|https://www.ntv.ru/novosti/2718787/,"Один человек погиб и двое пострадали при ударе ВСУ по пивзаводу в Донецке — Специальная военная операция России Один человек погиб и еще двое получили травмы при обстреле ВСУ пивоваренного завода в Донецке. Об этом в своем Telegram-канале сообщило МЧС ДНР. || Утечку аммиака на пивзаводе в Донецке удалось остановить — Специальная военная операция России Утечку аммиака на донецком пивзаводе, которая произошла после атаки ВСУ, удалось остановить, сообщило в своем Telegram-канале МЧС ДНР. || ВСУ пытались отравить жителей Донецка аммиаком с пивзавода Один человек погиб и четверо пострадали в результате ночного обстрела пивоваренного завода в Донецке. Осколки украинских снарядов перебили трубопровод с аммиаком. Опасное химическое вещество распространилось на огромной площади, рискуя вызвать тяжелые отравления у жителей ближайших кварталов. Несколько часов на территории предприятия бушевал сильнейший пожар.",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0041,314892,2,314892|314894,20220811|20220812,https://twitter.com/OSINTua/status/1557440576806608897,Супутникові знімки знищених російських літаків на авіабазі Новофедорівка,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0042,53857,2,53857|53887,20220813|20220814,https://twitter.com/jseldin/status/1558140093759643657,"""""""""Ми не маємо нічого, що вказує на те, що ракета була випущена по російському аеродрому в Криму"""""""", - заявив високопоставлений військовий чиновник США.",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0043,53869,3,53869|53889|53899,20220813|20220814|20220815,https://twitter.com/jseldin/status/1558140093759643657,"""""""""""""""""Ми не маємо нічого, що вказує на те, що ракета була випущена по російському аеродрому в Криму"""""""""""""""", - заявив високопоставлений військовий чиновник США.",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0044,53878,2,53878|232646,20220814,https://twitter.com/GirkinGirkin/status/1559397454348525569,"Черный дым над Джанкоем в Крыму в результате пожара на электроподстанции. Сообщается, что по подстанции был нанесен удар.",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0045,53914,2,53914|232745,20220816,https://www.pravda.com.ua/news/2022/08/16/7363420/,"У Криму лунають вибухи в районі Джанкоя, Чубаров каже: влучили у сховище боєприпасів. У Джанкойському районі окупованого Росією Криму вранці 16 серпня чути вибухи і видно вогонь, є інформація про детонацію на складі боєприпасів у селищі Майське.",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0046,53948,2,53948|232755,20220816,https://www.pravda.com.ua/news/2022/08/16/7363490/,"Вибухи поблизу Джанкоя: скільки техніки тримали там росіяни. Управління стратегічних комунікацій Збройних сил України повідомляє, що в районі пошкодженої вибухами залізничної станції Азовське в окупованому Криму росіяни розвантажували військову техніку та боєприпаси, а в районі аеродрому поблизу Джанкою стояли зенітно-ракетні комплекси РФ.",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0047,53954,2,53954|232758,20220816,https://nv.ua/ukr/ukraine/events/yak-i-chomu-vibuhi-v-dzhankoji-mozhut-poznachitisya-na-hodi-viyni-ostanni-novini-50263487.html,Вибухи в Криму: де саме розташовані склади боєприпасів і яку техніку Росія тримала на сусідньому аеродромі в Джанкої - інфографіка НВ,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0048,101390,2,101390|101391,20220817|20220818,https://t.me/rbc_news/56084,Пожежа на електропідстанції в Джанкой,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0049,53963,2,53963|120215,20220817,https://t.me/tass_agency/151150|https://twitter.com/HromadskeRadio/status/1559606233539158019,"Супутникові знімки наслідків вибухів на складі боєприпасів біля Джанкоя, Крим || З селища Майське біля Джанкоя в Криму евакуюють мирних жителів після вибуху складу боєприпасів",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0050,53975,3,53975|120216|232761,20220817,https://t.me/suspilnenews/13553,Під Джанкоєм на півночі Криму вибухнув склад боєприпасів,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0051,120217,4,120217|120221|232762|232772,20220817|20220818,https://t.me/bbbreaking/132792,У Джанкойському районі внаслідок вибуху на складі боєприпасів пошкоджена залізниця - екстрені служби,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0052,54008,2,54008|54043,20220818|20220819,https://24tv.ua/belbek-de-prolunali-vibuhi-krimu-shho-vidomo-pro-aerodrom-bilya_n2137283,"На """"""""""""""""Бельбеку"""""""""""""""" лунали вибухи: що відомо про найбільший аеродром у Криму – пояснюємо на карті",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0053,54017,2,54017|62364,20220818,https://espreso.tv/u-krimu-progrimili-vibukhi-bilya-sevastopolya-i-aerodromu-belbek-okupanti-zayavili-pro-zbittya-dronu-silami-ppo,"У Криму прогриміли вибухи біля Севастополя і аеродрому """"Бельбек"""", окупанти заявили про збиття дрону силами ППО",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0054,62370,4,62370|62385|132865|132867,20220819|20220820,https://t.me/rian_ru/174888,Окупаційна влада Севастополя повідомляє про збитий безпілотник ППО поблизу аеродрому Бельбек,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0055,37706,2,37706|37707,20220821|20220822,https://t.me/chpsevas/2770,"Під Бахчисараєм 3 вибухи, з району аеродрому піднімається дим",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0056,77755,3,77755|77756|237115,20220823|20220824,https://twitter.com/kava240222/status/1561552740412792833,У Донецьку на складі боєприпасів сталися вибухи,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0057,37712,3,37712|37713|37861,20220824|20220825,https://twitter.com/herooftheday10/status/1562194408828973057,У Токмаку Запорізької області вибухнув склад боєприпасів,EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
EXACT2022-0058,67512,2,67512|224246,20220825,https://t.me/milinfolive/89756,"Как утверждается, силы непризнанной ДНР уничтожили склад боеприпасов и укрепрайон ВСУ в районе Первомайского (Донецкая область).",EXACT_SOURCE_URL_AND_REPRESENTATIVE_TEXT,EARLIEST_VIINA_DATE_THEN_LOWEST_EVENT_ID_1PD,FALSE
