SearchCellID,Window,SearchFamily,SearchStatus,CoverageStatus,SourceDependenceGroup,DependencyAuditStatus,ReviewStatus,DedupeReviewStatus,Notes
RU22-05-R7,2022-05,R7_LOGISTICS_OTHER,IN_PROGRESS,PARTIAL,DG_RU_OFFICIAL,NOT_REVIEWED,IN_PROGRESS,IN_PROGRESS,Targeted source recovery/discovery performed; full monthly-family protocol not yet complete.
RU22-06-R1,2022-06,R1_ENERGY_REFINING,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-06-R2,2022-06,R2_ENERGY_STORAGE_EXPORT,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-06-R3,2022-06,R3_PIPELINE_PUMPING,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-06-R4,2022-06,R4_DEFENSE_INDUSTRY,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-06-R5,2022-06,R5_STRATEGIC_AIR,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-06-R6,2022-06,R6_GRID_SUPPORT,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-06-R7,2022-06,R7_LOGISTICS_OTHER,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-07-R1,2022-07,R1_ENERGY_REFINING,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-07-R2,2022-07,R2_ENERGY_STORAGE_EXPORT,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-07-R3,2022-07,R3_PIPELINE_PUMPING,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-07-R4,2022-07,R4_DEFENSE_INDUSTRY,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-07-R5,2022-07,R5_STRATEGIC_AIR,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-07-R6,2022-07,R6_GRID_SUPPORT,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-07-R7,2022-07,R7_LOGISTICS_OTHER,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-08-R1,2022-08,R1_ENERGY_REFINING,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-08-R2,2022-08,R2_ENERGY_STORAGE_EXPORT,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-08-R3,2022-08,R3_PIPELINE_PUMPING,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-08-R4,2022-08,R4_DEFENSE_INDUSTRY,IN_PROGRESS,PARTIAL,DG_RU_OFFICIAL,NOT_REVIEWED,IN_PROGRESS,IN_PROGRESS,Targeted source recovery/discovery performed; full monthly-family protocol not yet complete.
RU22-08-R5,2022-08,R5_STRATEGIC_AIR,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-08-R6,2022-08,R6_GRID_SUPPORT,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-08-R7,2022-08,R7_LOGISTICS_OTHER,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-09-R1,2022-09,R1_ENERGY_REFINING,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-09-R2,2022-09,R2_ENERGY_STORAGE_EXPORT,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-09-R3,2022-09,R3_PIPELINE_PUMPING,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-09-R4,2022-09,R4_DEFENSE_INDUSTRY,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-09-R5,2022-09,R5_STRATEGIC_AIR,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-09-R6,2022-09,R6_GRID_SUPPORT,IN_PROGRESS,PARTIAL,DG_RU_OFFICIAL,NOT_REVIEWED,IN_PROGRESS,IN_PROGRESS,Valuyki primary source recovered; full monthly-family protocol not yet complete.
RU22-09-R7,2022-09,R7_LOGISTICS_OTHER,IN_PROGRESS,PARTIAL,DG_RU_OFFICIAL,NOT_REVIEWED,IN_PROGRESS,IN_PROGRESS,Nekhoteevka customs-terminal primary source recovered; full monthly-family protocol not yet complete.
RU22-10-R1,2022-10,R1_ENERGY_REFINING,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-10-R2,2022-10,R2_ENERGY_STORAGE_EXPORT,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-10-R3,2022-10,R3_PIPELINE_PUMPING,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-10-R4,2022-10,R4_DEFENSE_INDUSTRY,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-10-R5,2022-10,R5_STRATEGIC_AIR,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-10-R6,2022-10,R6_GRID_SUPPORT,IN_PROGRESS,PARTIAL,DG_RU_OFFICIAL,NOT_REVIEWED,IN_PROGRESS,IN_PROGRESS,Known Reuters-linked official cases require full monthly-family completion.
RU22-10-R7,2022-10,R7_LOGISTICS_OTHER,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-11-R1,2022-11,R1_ENERGY_REFINING,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-11-R2,2022-11,R2_ENERGY_STORAGE_EXPORT,IN_PROGRESS,PARTIAL,DG_RU_OFFICIAL,NOT_REVIEWED,IN_PROGRESS,IN_PROGRESS,Known Surazh case and additional discovery under review.
RU22-11-R3,2022-11,R3_PIPELINE_PUMPING,IN_PROGRESS,PARTIAL,DG_RU_OFFICIAL,NOT_REVIEWED,IN_PROGRESS,IN_PROGRESS,Stalnoy Kon Transneft facility event identified for reconciliation.
RU22-11-R4,2022-11,R4_DEFENSE_INDUSTRY,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-11-R5,2022-11,R5_STRATEGIC_AIR,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-11-R6,2022-11,R6_GRID_SUPPORT,IN_PROGRESS,PARTIAL,DG_RU_OFFICIAL,NOT_REVIEWED,IN_PROGRESS,IN_PROGRESS,Tetkino/Sudzha-region official energy incidents under reconciliation.
RU22-11-R7,2022-11,R7_LOGISTICS_OTHER,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-12-R1,2022-12,R1_ENERGY_REFINING,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-12-R2,2022-12,R2_ENERGY_STORAGE_EXPORT,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-12-R3,2022-12,R3_PIPELINE_PUMPING,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-12-R4,2022-12,R4_DEFENSE_INDUSTRY,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-12-R5,2022-12,R5_STRATEGIC_AIR,IN_PROGRESS,PARTIAL,DG_RU_OFFICIAL,NOT_REVIEWED,IN_PROGRESS,IN_PROGRESS,Known Engels/Dyagilevo/Kursk cases require full monthly-family completion.
RU22-12-R6,2022-12,R6_GRID_SUPPORT,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
RU22-12-R7,2022-12,R7_LOGISTICS_OTHER,NOT_STARTED,UNKNOWN,DG_RU_OFFICIAL,NOT_REVIEWED,NOT_STARTED,NOT_STARTED,
