SourceEventID,VIINADate,ManualDecision,ResolvedYear,CanonicalEventDate,CountryScope,TargetOrEvent,AttributionStatus,DecisionReason,CandidateCensusComplete
81800,20220403,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,2022-04-03,UKRAINE_OTHER,Poltava and Dnipro airfields,RUSSIAN_ATTACK_REPORTED,Russian MoD claim of Russian missile strikes on Ukrainian airfields,FALSE
102386,20220409,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,2022-04-09,UKRAINE_OTHER,Novomoskovsk ammunition depot,RUSSIAN_ATTACK_REPORTED,Russian strike on Ukrainian ammunition depot,FALSE
289654,20220425,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-04-25,UKRAINE_OCCUPIED_OTHER,Bakhmut ammunition depots,UKRAINIAN_ATTACK_REPORTED,Target area Bakhmut,FALSE
195646,20220426,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-04-26,UKRAINE_OCCUPIED_OTHER,Kherson Oblast ammunition depot,UKRAINIAN_ATTACK_REPORTED,Target explicitly Kherson Oblast,FALSE
62143,20220429,EXCLUDE_WRONG_YEAR,2023,2023-04-29,CRIMEA_SEVASTOPOL,Sevastopol/Kozacha Bay oil depot,UKRAINIAN_ATTRIBUTION_REPORTED,Event occurred 29 April 2023 and is also outside Russia-proper scope under project rules,FALSE
81921,20220513,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,2022-05-13,UKRAINE_OTHER,Poltava refinery/fuel tanks,RUSSIAN_ATTACK_REPORTED,Russian MoD report of Russian strike in Poltava Oblast,FALSE
85815,20220517,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-05-17,UKRAINE_OCCUPIED_OTHER,Izyum and Kherson ammunition depots,UKRAINIAN_ATTACK_REPORTED,Targets explicitly in Ukrainian territory,FALSE
195929,20220518,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-05-18,UKRAINE_OCCUPIED_OTHER,Kherson/Chornobaivka,UKRAINIAN_ATTACK_REPORTED,Target explicitly Kherson Oblast,FALSE
196171,20220608,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-06-08,UKRAINE_OTHER,Kherson and Mykolaiv targets,UKRAINIAN_ATTACK_REPORTED,Targets explicitly in Ukrainian oblasts,FALSE
256059,20220614,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,2022-06-14,UKRAINE_OTHER,Chernihiv arsenal,RUSSIAN_ATTACK_REPORTED,Russian Kalibr strike on Ukrainian arsenal,FALSE
102406,20220619,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,2022-06-19,UKRAINE_OTHER,Novomoskovsk oil depot,RUSSIAN_ATTACK_REPORTED,Text reports shelling of oil depot in Dnipropetrovsk Oblast,FALSE
196496,20220629,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-06-29,UKRAINE_OTHER,Mykolaiv-Kherson border ammunition depots,UKRAINIAN_ATTACK_REPORTED,Targets explicitly within Ukrainian oblasts,FALSE
236555,20220702,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,2022-07-02,UKRAINE_OCCUPIED_OTHER,Lysychansk refinery area,RUSSIAN_ATTACK_REPORTED,Report describes Russian assault/airstrike activity around Lysychansk,FALSE
329159,20220702,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-07-02,UKRAINE_OCCUPIED_OTHER,Druzhba near Popasna ammunition/saltpeter depot,UKRAINIAN_ATTACK_REPORTED,Physical target is in Luhansk Oblast Ukraine,FALSE
196584,20220706,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-07-06,UKRAINE_OCCUPIED_OTHER,Kherson ammunition depot,UKRAINIAN_PARTISAN_ATTACK_REPORTED,Target explicitly Kherson,FALSE
196688,20220712,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-07-12,UKRAINE_OCCUPIED_OTHER,Charyvne/Kherson ammunition depot,UKRAINIAN_ATTACK_REPORTED,Target explicitly Kherson Oblast,FALSE
196824,20220721,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-07-21,UKRAINE_OCCUPIED_OTHER,Kherson command post and ammunition depots,UKRAINIAN_ATTACK_REPORTED,Target explicitly Kherson Oblast,FALSE
196993,20220729,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-07-29,UKRAINE_OCCUPIED_OTHER,Kherson ammunition depots,UKRAINIAN_ATTACK_REPORTED,Target explicitly Kherson Oblast,FALSE
197115,20220805,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-08-05,UKRAINE_OCCUPIED_OTHER,Kherson/Pridniprovske/Tokarivka ammunition depots,UKRAINIAN_ATTACK_REPORTED,Targets explicitly Kherson area,FALSE
197132,20220806,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-08-06,UKRAINE_OCCUPIED_OTHER,Kherson/Donetsk direction ammunition depot,UKRAINIAN_ATTACK_REPORTED,Operational directions are on Ukrainian territory,FALSE
197202,20220812,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-08-12,UKRAINE_OCCUPIED_OTHER,Kherson ammunition depot,UKRAINIAN_ATTACK_REPORTED,Target explicitly Kherson Oblast,FALSE
37858,20220820,EXCLUDE_WRONG_YEAR,2023,2023-08-19,RUSSIA_PROPER,Soltsy airbase Novgorod Oblast,UKRAINIAN_ATTRIBUTION_REPORTED,Original NV article is dated 20 August 2023 and discusses 19 August 2023 strike,FALSE
197329,20220823,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-08-23,UKRAINE_OCCUPIED_OTHER,Kherson ammunition depots/command posts,UKRAINIAN_ATTACK_REPORTED,Targets explicitly Kherson Oblast,FALSE
197535,20220902,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-09-02,UKRAINE_OCCUPIED_OTHER,Southern Ukraine ammunition depots/crossing,UKRAINIAN_ATTACK_REPORTED,Named districts and crossing are in southern Ukraine,FALSE
104867,20220908,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-09-08,UKRAINE_OCCUPIED_OTHER,Operational-theatre bases/depots/command posts,UKRAINIAN_ATTACK_REPORTED,GenStaff daily report describes strikes supporting ground operations on Ukrainian front; no Russia-proper target,FALSE
222625,20220910,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-09-10,UKRAINE_OCCUPIED_OTHER,Kakhovka ammunition depot,UKRAINIAN_ATTACK_REPORTED,Target explicitly Kakhovka Kherson Oblast,FALSE
297831,20220911,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-09-11,UKRAINE_OCCUPIED_OTHER,Operational-theatre ammunition depots/equipment concentrations,UKRAINIAN_ATTACK_REPORTED,GenStaff operational report concerns strikes supporting Ukrainian ground operations; no Russia-proper target,FALSE
218492,20221002,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-10-02,UKRAINE_OCCUPIED_OTHER,Chernihivka Zaporizhzhia ammunition depot and front targets,UKRAINIAN_ATTACK_REPORTED,Original report locates confirmed ammunition-depot strike near Chernihivka Zaporizhzhia and describes front-line targets,FALSE
348491,20221007,EXCLUDE_WRONG_YEAR,2024,2024-10-07,CRIMEA_SEVASTOPOL,Feodosia marine oil terminal,UKRAINIAN_ATTACK_CONFIRMED,Original NV page is dated 7 October 2024; also Crimea is outside Russia-proper census,FALSE
198343,20221019,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-10-19,UKRAINE_OCCUPIED_OTHER,Beryslav/Kherson ammunition depots,UKRAINIAN_ATTACK_REPORTED,Targets explicitly Kherson Oblast,FALSE
198406,20221021,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-10-21,UKRAINE_OCCUPIED_OTHER,Kherson ammunition depots,UKRAINIAN_ATTACK_REPORTED,Targets explicitly Kherson Oblast,FALSE
174133,20221105,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-11-05,UKRAINE_OTHER,Pokrovsk/Krasnoarmiisk Ukrainian ammunition depot,ATTRIBUTION_UNRESOLVED,Physical event is at Ukrainian depot in Donetsk Oblast; not Russia-proper,FALSE
198770,20221105,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-11-05,UKRAINE_OCCUPIED_OTHER,Beryslav/Kherson ammunition depots,UKRAINIAN_ATTACK_REPORTED,Targets explicitly Kherson Oblast,FALSE
265757,20221113,EXCLUDE_RUSSIAN_ATTACK_ON_UKRAINE,2022,2022-11-13,UKRAINE_OTHER,Cherkasy arsenal,RUSSIAN_ATTACK_REPORTED,Russian army claim of destroying Ukrainian arsenal,FALSE
37948,20221202,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-12-02,UKRAINE_OCCUPIED_OTHER,Tokmak electrical substation,UKRAINIAN_ATTACK_REPORTED,Target is occupied Zaporizhzhia Oblast,FALSE
308258,20221214,EXCLUDE_OUTSIDE_RUSSIA_PROPER,2022,2022-12-14,UKRAINE_OCCUPIED_OTHER,Bakhmut ammunition depot/Wagner position,UKRAINIAN_ATTACK_REPORTED,Target explicitly Bakhmut,FALSE
291978,20221227,INCLUDE_RUSSIA_PROPER,2022,2022-12-26,RUSSIA_PROPER,Engels strategic airbase Saratov Oblast,TARGET_ATTACK_CONFIRMED_ATTRIBUTION_UKRAINIAN_REPORTED,27 Dec article discusses the new 26 Dec explosions/attack at Engels strategic airbase; retain as census candidate,FALSE
